kod
A1CAP
ACSEL
ADEL
ADESE
AEFES
AFYON
AGESA
AGHOL
AGROT
AHGAZ
AKBNK
AKCNS
AKENR
AKFGY
AKFYE
AKGRT
AKMGY
AKSA
AKSEN
ALARK
ALBRK
ALCTL
ALGYO
ALKA
ALKIM
ALMAD
ALTNY
ALVES
ANELE
ANGEN
ANHYT
ANSGR
ARCLK
ARDYZ
ARENA
ARSAN
ARTMS
ARZUM
ASELS
ASGYO
ASTOR
ASUZU
ATAGY
ATAKP
ATATP
ATEKS
ATLAS
ATSYH
AVGYO
AVHOL
AVOD
AVTUR
AYDEM
AYEN
AYES
AYGAZ
AZTEK
BAGFS
BAKAB
BALAT
BANVT
BARMA
BASGZ
BAYRK
BERA
BEYAZ
BFREN
BIENP
BIGCH
BIMAS
BIOEN
BIZIM
BJKAS
BLCYT
BMTKS
BNASL
BOBET
BORLS
BORSK
BOSSA
BRISA
BRKO
BRKSN
BRKVY
BRLSM
BRMEN
BRSAN
BRYAT
BSOKE
BTCIM
BUCIM
BURCE
BURVA
BVSAN
BYDNR
CANTE
CARYE
CCOLA
CELHA
CEMAS
CEMTS
CIMSA
CLEBI
CONSE
COSMO
CRDFA
CUSAN
CVKMD
CWENE
DAGHL
DAGI
DAPGM
DARDL
DGATE
DGGYO
DGNMO
DIRIT
DITAS
DMSAS
DOAS
DOCO
DOGUB
DOHOL
DOKTA
DURDO
DYOBY
DZGYO
EBEBK
ECILC
ECZYT
EDATA
EDIP
EGEEN
EGGUB
EGPRO
EGSER
EKGYO
EKIZ
EKSUN
ELITE
EMKEL
ENJSA
ENKAI
EPLAS
ERBOS
EREGL
ERSU
ESCOM
ESEN
ETILR
EUPWR
EUREN
EYGYO
FADE
FENER
FLAP
FMIZP
FONET
FORMT
FRIGO
FROTO
FZLGY
GARAN
GARFA
GEDIK
GEDZA
GENIL
GENTS
GEREL
GESAN
GIPTA
GLBMD
GLCVY
GLRYH
GLYHO
GOKNR
GOLTS
GOODY
GOZDE
GRNYO
GSDDE
GSDHO
GSRAY
GUBRF
GWIND
GZNMI
HALKB
HATEK
HEDEF
HEKTS
HKTM
HLGYO
HRZFT
HTTBT
HUBVC
HUNER
HURGZ
ICBCT
IDEAS
IDGYO
IHEVA
IHGZT
IHLAS
IHLGM
IHYAY
IMASM
INDES
INFO
INGRM
INTEM
INVEO
IPEKE
ISATR
ISBTR
ISCTR
ISFIN
ISGSY
ISGYO
ISKPL
ISMEN
ISSEN
ISYAT
IZENR
IZFAS
IZINV
IZMDC
JANTS
KAPLM
KAREL
KARSN
KARTN
KARYE
KATMR
KAYSE
KCAER
KCHOL
KENT
KERVT
KFEIN
KGYO
KIMMR
KLRGY
KMPUR
KNFRT
KOBIL
KOCAER
KOCMT
KONTR
KONYA
KORDS
KOZAA
KOZAL
KRDMA
KRDMB
KRDMD
KRGYO
KRONT
KRPLS
KRSTL
KRTEK
KSTUR
KTSKR
KUTPO
KUVVA
KUYAS
KZBGY
KZGYO
LIDER
LIDFA
LINK
LKMNH
LOGAS
LOGO
LUKSK
MAALT
MACKO
MAGEN
MAKIM
MAKTK
MANAS
MARKA
MARTI
MAVI
MEDTR
MEGAP
MEPET
MERCN
MERKO
METRO
METUR
MHRGY
MIATK
MGROS
MIPAZ
MMCAS
MNDRS
MNDTR
MOBTL
MOGAN
MPARK
MRGYO
MRSHL
MSGYO
MTRKS
MTRYO
MZHLD
NATEN
NETAS
NIBAS
NTGAZ
NTHOL
NUGYO
NUHCM
OBASE
ODAS
OFSYM
ONCSM
ORCAY
ORGE
OTKAR
OYAKC
OYAYO
OYLUM
OYYAT
OZGYO
OZKGY
OZRDN
OZSUB
PAGYO
PAMEL
PAPIL
PARSN
PASEU
PATEK
PCILT
PEGYO
PEKGY
PENGD
PENTA
PETKM
PETUN
PGSUS
PINSU
PKART
PKENT
PLTUR
PNLSN
PNSUT
POLHO
POLTK
PRKAB
PRKME
PRZMA
PSGYO
QNBFB
QNBFL
QUAGR
RALYH
RAYYS
REEDR
RNPOL
RODRG
RTALB
RUBNS
SAHOL
SAMAT
SANEL
SANFO
SANKO
SARKY
SASA
SAYAS
SDTTR
SEKFK
SEKUR
SELEC
SELGD
SELVA
SEYKM
SILVR
SISE
SKBNK
SKTAS
SMART
SMRTG
SNAYS
SNICA
SNKPA
SOKM
SONME
SRVGY
SUMAS
SUNTK
SURGY
SUWEN
TABGD
TAPDI
TARKM
TATGD
TAVHL
TCELL
TDGYO
TEKTU
TERA
TETMT
TGSAS
THYAO
TKFEN
TKNSA
TLMAN
TMPOL
TMSN
TOASO
TRCAS
TRGYO
TRILC
TSGYO
TSKB
TSPOR
TTKOM
TTRAK
TUCLK
TUKAS
TUPRS
TUREX
TURGG
TURSG
UFUK
ULAS
ULKER
ULUFA
ULUSE
ULUUN
UMPAS
USAK
VAKBN
VAKFN
VAKKO
VANGD
VBTYZ
VERTU
VERUS
VESBE
VESTL
VKFYO
VKGYO
VKING
YAPRK
YATAS
YAYLA
YBTAS
YEOTK
YESIL
YGGYO
YGYO
YKBNK
YKSLN
YONGA
YUNSA
YYAPI
YYLGD
ZEDUR
ZOREN
ZRGYO
